MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,line
0.10327777,0.22121857,0.3213686,149.86172,62.862682,59.399377,6.531481336,1.500166473388672,1014.517578125,success,KANiTransformer,ETTm2,96,96,2
0.1314266,0.25360402,0.3625281,172.75017,68.1391,59.497873,6.575521528,1.5462445068359374,1016.8818359375,success,KANiTransformer,ETTm2,96,192,2
0.16385086,0.280401,0.40478495,200.44308,72.11116,59.645617,6.641581816,1.523675537109375,1018.837890625,success,KANiTransformer,ETTm2,96,336,2
0.21092932,0.31918052,0.45927042,231.80568,76.46864,60.039601,6.817742584,1.5419584655761718,1026.7626953125,success,KANiTransformer,ETTm2,96,720,2
0.15629837,0.19687319,0.3953459,1001.7603,47.07964,59.399405,19.613711008,1.6390470886230468,1098.94921875,success,KANiTransformer,Weather,96,96,2
0.20095302,0.23719567,0.44827783,1207.6057,53.038277,59.497901,19.745831584,1.6564877319335938,1099.697265625,success,KANiTransformer,Weather,96,192,2
0.25441587,0.27857187,0.50439656,1477.6503,58.452934,59.645645,19.944012448,1.6331692504882813,1112.41455078125,success,KANiTransformer,Weather,96,336,2
0.31208372,0.31862435,0.55864453,1758.6802,63.966705,60.039629,20.472494752,1.6426463317871094,1122.83984375,success,KANiTransformer,Weather,96,720,2
0.14192772,0.23377922,0.37673295,188.08063,47.37585,31.088453,44.217038336,1.7824607849121095,1028.8154296875,success,KANiTransformer,Electricity,96,96,2
0.15553524,0.24657898,0.39437956,196.02048,49.193157,31.186949,44.72192768,1.7702540588378906,1034.09619140625,success,KANiTransformer,Electricity,96,192,2
0.16816899,0.26139763,0.41008413,205.60031,52.05305,31.334693,45.479261696,1.7691571044921874,1037.80712890625,success,KANiTransformer,Electricity,96,336,2
0.19881539,0.2910171,0.4458872,235.18893,56.44114,31.728677,47.498819072,1.831171875,1102.3525390625,success,KANiTransformer,Electricity,96,720,2
0.11288428,0.23836891,0.33598256,169.78398,65.669495,0.036783,0.00389543,0.2024831962585449,21.63232421875,success,LiteSparseNet,ETTm2,96,96,2
0.14481421,0.27305683,0.38054463,204.98737,70.81307,0.073071,0.007704794,0.20515071868896484,26.9697265625,success,LiteSparseNet,ETTm2,96,192,2
0.19286191,0.30598855,0.43916047,200.12775,77.26662,0.127503,0.01341804,0.20388032913208007,32.0703125,success,LiteSparseNet,ETTm2,96,336,2
0.24387936,0.35328117,0.49384144,200.84592,86.59678,0.272655,0.028657496,0.20683135986328124,46.65283203125,success,LiteSparseNet,ETTm2,96,720,2
0.15731512,0.23385254,0.3966297,603.09204,68.15004,0.110185,0.013260504,0.26484928131103513,28.3212890625,success,LiteSparseNet,Weather,96,96,2
0.20497452,0.2809891,0.45274112,745.9816,76.353645,0.219049,0.02625796,0.2589216041564941,35.3251953125,success,LiteSparseNet,Weather,96,192,2
0.2539722,0.32222983,0.50395656,710.6882,84.884224,0.382345,0.045759644,0.25475967407226563,53.18310546875,success,LiteSparseNet,Weather,96,336,2
0.31424662,0.3626987,0.56057703,566.3647,93.28691,0.817801,0.097764468,0.254965763092041,87.51611328125,success,LiteSparseNet,Weather,96,720,2
0.23676567,0.3208214,0.48658574,236.39552,60.256344,1.686021,0.058080392,1.2118195343017577,80.55517578125,success,LiteSparseNet,Electricity,96,96,2
0.22395079,0.31954178,0.4732344,246.44717,60.383343,3.350085,0.115180172,1.2522886657714845,130.31884765625,success,LiteSparseNet,Electricity,96,192,2
0.23720424,0.33631882,0.48703617,264.93567,63.183914,5.846181,0.200841592,1.1915737915039062,206.12939453125,success,LiteSparseNet,Electricity,96,336,2
0.26924708,0.36657956,0.51889026,288.53635,67.06102,12.502437,0.429205712,1.2154560089111328,412.294921875,success,LiteSparseNet,Electricity,96,720,2
0.108710155,0.22989406,0.32971224,153.157,65.29119,0.006048,0.004128768,1.1747180938720703,19.69482421875,success,SparseTSF,ETTm2,96,96,2
0.13552187,0.25708085,0.36813295,160.07516,70.94358,0.012096,0.008257536,1.1395558166503905,22.15234375,success,SparseTSF,ETTm2,96,192,2
0.16908176,0.2865177,0.41119552,180.13373,75.20824,0.021168,0.014450688,1.1567059326171876,24.24267578125,success,SparseTSF,ETTm2,96,336,2
0.21445315,0.32368097,0.46309087,191.06209,81.23571,0.04536,0.03096576,1.1512499237060547,31.029296875,success,SparseTSF,ETTm2,96,720,2
0.16383216,0.2400921,0.40476185,625.53345,74.39955,0.018144,0.012386304,3.1996856689453126,23.16845703125,success,SparseTSF,Weather,96,96,2
0.20863822,0.28515008,0.45676932,570.3989,85.32719,0.036288,0.024772608,3.1773440551757814,24.685546875,success,SparseTSF,Weather,96,192,2
0.25814325,0.32429048,0.508078,574.5643,92.19677,0.063504,0.043352064,3.188262939453125,34.70361328125,success,SparseTSF,Weather,96,336,2
0.3207223,0.3692959,0.5663235,574.7647,101.16573,0.13608,0.09289728,3.1598406982421876,51.30615234375,success,SparseTSF,Weather,96,720,2
0.589119,0.5853821,0.7675409,312.6102,105.64368,0.277344,0.047333376,46.9806103515625,41.98779296875,success,SparseTSF,Electricity,96,96,2
0.5835676,0.58257294,0.76391596,310.08572,105.34767,0.554688,0.094666752,47.2034521484375,57.3544921875,success,SparseTSF,Electricity,96,192,2
0.59003884,0.58661836,0.76813984,309.16257,106.246185,0.970704,0.165666816,46.8771875,81.982421875,success,SparseTSF,Electricity,96,336,2
0.6087055,0.60033906,0.78019583,308.54504,109.612564,2.08008,0.35500032,47.5409912109375,144.50146484375,success,SparseTSF,Electricity,96,720,2
