model,dataset,Params(M),FLOPs(G)
DLinear,ETTm2,0.0186,0.0041
DLinear,Weather,0.0186,0.0124
DLinear,Electricity,0.0186,0.0947
DLinear,Environment,0.0186,0.0035
PatchTST,ETTm2,10.0563,25.6644
PatchTST,Weather,6.9039,51.4857
PatchTST,Electricity,6.9039,393.4981
PatchTST,Environment,6.9039,14.7102
TimesNet,ETTm2,1.1919,36.6303
TimesNet,Weather,1.1937,36.0187
TimesNet,Electricity,150.3048,2303.8923
TimesNet,Environment,1.1918,36.0112
Mamba,ETTm2,0.2374,0.7615
Mamba,Weather,0.2446,0.7835
Mamba,Electricity,0.3982,0.6277
Mamba,Environment,0.2368,0.7595
SparseTSF,ETTm2,0.0034,0.0041
SparseTSF,Weather,0.0101,0.0124
SparseTSF,Electricity,0.1541,0.0473
SparseTSF,Environment,0.0029,0.0035
KANiTransformer,ETTm2,118.6506,6.4985
KANiTransformer,Weather,177.9018,29.2224
KANiTransformer,Electricity,62.0281,87.6767
KANiTransformer,Environment,118.6506,5.5697
LiteSparseNet,ETTm2,0.0171,0.0026
LiteSparseNet,Weather,0.0515,0.0094
LiteSparseNet,Electricity,0.422,0.0374
LiteSparseNet,Environment,0.0147,0.0025
